nama_makanan,air,energi,protein,lemak,karbo,serat,abu,kalsium,fosfor,besi,natrium,kalium,tembaga,seng,retinol,b_kar,kar_total,thiamin,riboflavin,niasin,vit_c,bdd,kategori,jenis_bahan,id_resep
"Cabai rawit, segar",71.2,120,4.7,2.4,19.9,15.2,1.8,45,85,2.5,34,706.2,0.29,0.6,,1694,"1105
0",0.24,0.09,1.7,70,85,bumbu,tunggal,
"Cengkeh, kering",23.3,330,5.2,8.9,57.4,10.0,5.2,740,100,4.9,282,961.0,0.30,0.0,,265,,"200.
00",0.00,0.0,,100,bumbu,tunggal,
"Daun salam,  bubuk",13.1,301,14.2,10.9,49.0,9.4,12.8,86,250,44.1,180,619.0,1.31,0.7,0,5400,,0.10,0.32,5.0,0,100,bumbu,tunggal,
"Jahe, segar",55.0,51,1.5,1.0,10.1,12.0,1.2,21,39,1.6,12,441.7,0.48,0.7,,0,9,0.02,0.17,3.3,4,97,bumbu,tunggal,
Kemiri,7.0,675,19.0,63.0,8.0,3.0,3.0,80,200,2.0,25,430.7,0.23,0.8,,0,0,0.06,0.06,0.4,0,100,bumbu,tunggal,
"Ketumbar, kering",11.2,418,14.1,16.1,54.2,12.3,4.4,630,370,17.9,91,1787.0,0.95,4.6,,75,1570,0.20,0.35,1.8,0,100,bumbu,tunggal,
Kluwek,51.0,310,10.0,24.0,13.5,,1.5,40,100,2.0,,,,,,,0,0.15,,,30,80,bumbu,tunggal,
"Kunyit, segar",84.9,69,2.0,2.7,9.1,0.6,1.3,24,78,3.3,6,406.7,0.05,0.4,,12,,0.03,0.02,0.4,1,78,bumbu,tunggal,
"Merica, kering",12.9,365,11.5,6.8,64.4,1.0,4.4,460,200,16.4,4,99.7,0.89,1.1,,0,,0.20,0.10,2.5,,100,bumbu,tunggal,
"Pala, biji, kering",14.3,518,7.5,36.4,40.1,3.5,1.7,120,240,4.6,2,78.7,0.94,2.0,,7,,0.20,0.02,0.5,0,95,bumbu,tunggal,
Balichong,59.9,152,13.2,0.8,22.9,1.5,3.6,380,210,2.9,120,310.0,0.80,1.1,34,0,,0.01,0.08,0.2,,,bumbu,olahan,
Bekasam,65.5,116,11.9,4.9,6.1,3.5,11.6,704,757,7.5,711,176.0,0.80,1.9,,0,,0.00,0.03,2.1,,,bumbu,olahan,
Bekasang,67.1,78,11.4,2.0,3.6,0.4,15.9,54,97,2.6,4016,121.0,0.20,4.8,,,,0.15,0.12,0.6,,,bumbu,olahan,
Cuka,94.5,21,0.1,0.1,5.0,0.0,0.3,7,10,0.5,21,37.8,0.00,0.0,,0,,0.24,0.00,0.7,,100,bumbu,olahan,
Kecap,63.0,71,5.7,1.3,9.0,0.0,21.0,123,96,5.7,1114,,0.04,,0,,,0.00,,,0,100,bumbu,olahan,
Petis ikan,56.0,165,20.0,0.2,20.8,,3.0,37,36,2.8,,,,,,,0,0.01,0.20,0.8,0,100,bumbu,olahan,228
Petis udang kering,8.3,345,23.8,1.4,59.3,0.0,7.1,221,397,3.8,"1199
8",462.8,0.75,1.9,,0,232,1.02,0.40,2.2,0,100,bumbu,olahan,229
Petis udang pasta,39.0,220,15.0,0.9,38.0,2.3,7.1,37,36,2.8,7981,307.9,0.50,1.3,,0,0,0.01,0.13,1.7,0,100,bumbu,olahan,
Saos tomat,69.5,110,2.0,0.4,24.5,0.9,3.6,12,18,0.8,890,129.6,0.18,0.3,,357,570,0.09,0.06,1.7,11,100,bumbu,olahan,
Tempoya,70.1,110,1.7,1.3,21.9,2.6,5.0,190,45,2.9,597,486.3,,,,71,,0.30,0.04,1.1,0,100,bumbu,olahan,
Terasi,33.8,155,22.3,2.9,9.9,2.7,31.1,3812,726,78.5,1664,821.4,0.99,2.4,,0,0,0.24,0.00,3.3,0,100,bumbu,olahan,
Terasi dobo,58.4,191,33.1,3.6,6.6,1.6,11.5,2250,1130,22.9,650,1260.0,2.90,5.0,,0,,3.74,0.22,2.0,,100,bumbu,olahan,
Terasi merah,40.0,174,30.0,3.5,5.6,2.2,20.4,100,150,3.1,7850,302.8,0.49,1.2,,0,0,0.00,0.12,1.7,0,100,bumbu,olahan,
"Kelapa muda, air,
segar",95.5,17,0.2,0.1,3.8,0.0,0.4,15,8,0.2,1,149.0,0.04,0.1,0,0,,0.00,0.00,0.0,1,100,minuman,olahan,
